"","QWE","MI","PI","LOCTot","SocDesTot","MachTot","Sex","BehIntTot","ManCheck_1","ManCheck_2","ManCheck_3","Team"
"18","high","ethical","unethical",20,26,28,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"19","high","ethical","ethical",23,34,26,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"20","high","unethical","ethical",27,30,25,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"21","low","unethical","unethical",21,38,29,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"22","low","unethical","ethical",23,38,24,"Male",6,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"23","low","ethical","ethical",27,28,25,"Female",9,"Poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",1
"24","high","unethical","unethical",32,33,25,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"25","high","ethical","unethical",22,32,31,"I do not wish to identify as either",6,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"26","high","ethical","ethical",32,32,26,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"27","high","unethical","ethical",30,27,28,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"28","low","ethical","unethical",20,28,27,"Male",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"29","high","ethical","ethical",17,37,26,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"30","low","unethical","unethical",23,26,24,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"31","low","ethical","ethical",25,41,24,"Female",14,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"32","high","unethical","unethical",24,32,24,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"33","high","ethical","unethical",26,23,29,"Female",9,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",1
"34","low","unethical","ethical",31,25,29,"Female",13,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"35","low","unethical","unethical",25,36,23,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"36","low","ethical","unethical",25,24,26,"Female",6,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"37","low","unethical","ethical",22,28,24,"Male",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"38","high","ethical","unethical",22,37,25,"Male",10,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"39","high","unethical","unethical",23,29,23,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"40","high","ethical","ethical",28,36,25,"Female",7,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"41","low","ethical","ethical",24,33,20,"Female",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"42","high","ethical","unethical",26,31,30,"Female",14,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"43","high","ethical","ethical",26,32,25,"Male",13,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"44","low","ethical","unethical",39,31,40,"Male",13,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"45","low","ethical","ethical",24,36,18,"Female",6,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"46","low","unethical","unethical",24,37,21,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"47","high","unethical","unethical",30,30,26,"Male",5,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"48","high","unethical","ethical",26,32,20,"Male",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"49","low","unethical","unethical",27,31,25,"Female",7,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"50","low","ethical","unethical",22,28,30,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"51","high","unethical","unethical",26,32,24,"Male",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"52","high","ethical","ethical",22,34,14,"Male",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"53","low","ethical","ethical",29,32,24,"Male",5,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"54","high","unethical","ethical",23,26,22,"Female",14,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"55","low","unethical","ethical",22,26,19,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"56","high","ethical","unethical",26,33,24,"Male",10,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"57","low","ethical","unethical",26,33,24,"Female",10,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"58","low","unethical","ethical",25,29,21,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"59","high","unethical","unethical",29,33,23,"Male",13,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"60","low","unethical","unethical",32,37,27,"Male",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"61","low","ethical","unethical",36,33,21,"Male",15,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"62","low","ethical","ethical",25,33,17,"Male",10,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"63","high","unethical","ethical",29,37,26,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"64","low","ethical","unethical",27,33,24,"Male",11,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"65","high","ethical","unethical",28,38,21,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"66","high","ethical","ethical",25,28,18,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"67","low","ethical","unethical",35,31,27,"Male",4,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"68","low","ethical","ethical",26,36,24,"Male",4,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"69","high","unethical","unethical",28,28,35,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"70","low","unethical","ethical",23,26,28,"Male",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"71","high","ethical","ethical",29,29,27,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"72","high","unethical","unethical",26,30,27,"Male",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"73","high","ethical","unethical",29,34,21,"Female",10,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"74","high","ethical","unethical",25,36,20,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"75","low","ethical","unethical",34,28,32,"Male",9,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"76","low","unethical","ethical",27,31,29,"Male",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"77","low","ethical","ethical",33,34,13,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"78","high","ethical","ethical",18,39,20,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"79","low","ethical","unethical",32,38,25,"Male",13,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"80","high","unethical","unethical",31,29,30,"Male",9,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",1
"81","high","ethical","ethical",26,28,35,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",1
"82","low","unethical","ethical",27,34,29,"Female",7,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",1
"83","low","unethical","unethical",27,33,20,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"84","low","ethical","ethical",29,40,22,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",1
"85","low","unethical","ethical",28,35,19,"Male",8,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",1
"86","low","ethical","unethical",25,34,27,"Female",14,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",1
"87","high","ethical","ethical",24,38,24,"Male",5,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",1
"88","high","unethical","unethical",26,45,21,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"89","high","unethical","ethical",31,34,22,"Female",7,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"90","low","unethical","unethical",21,40,17,"Male",13,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"91","low","unethical","unethical",23,28,22,"Female",11,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",1
"92","high","ethical","unethical",32,26,25,"Female",12,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",1
"93","high","ethical","unethical",27,36,28,"Female",16,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"94","low","ethical","unethical",27,30,23,"Female",11,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"95","low","unethical","ethical",30,31,24,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"96","low","unethical","unethical",25,38,18,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"97","low","ethical","ethical",26,35,20,"Male",9,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"98","high","ethical","ethical",23,37,15,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",2
"99","low","unethical","unethical",31,31,23,"Female",15,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"100","low","unethical","ethical",22,22,24,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"101","high","unethical","unethical",24,27,23,"Male",19,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"102","high","unethical","ethical",30,31,30,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"103","high","ethical","ethical",28,28,30,"Female",14,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"104","low","ethical","unethical",28,37,20,"Female",10,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"105","high","ethical","unethical",25,28,26,"Male",9,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"106","high","ethical","unethical",25,31,21,"Female",14,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"107","high","unethical","ethical",36,26,33,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",2
"108","high","unethical","unethical",32,28,35,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"109","low","unethical","ethical",27,34,21,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"110","low","unethical","unethical",33,35,34,"Female",10,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"111","low","ethical","unethical",31,33,20,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"112","high","ethical","ethical",25,30,24,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"113","high","ethical","unethical",28,26,22,"Female",5,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"114","low","ethical","ethical",24,36,24,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"115","low","unethical","unethical",26,28,26,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",2
"116","high","unethical","unethical",30,32,30,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",2
"117","low","unethical","ethical",29,30,30,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",2
"118","low","ethical","unethical",25,34,21,"Female",6,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"119","high","unethical","unethical",20,41,21,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"120","low","ethical","unethical",19,38,15,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"121","low","ethical","ethical",34,26,25,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"122","high","unethical","ethical",27,32,26,"Female",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"123","low","unethical","unethical",28,30,24,"Female",17,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"124","low","unethical","ethical",22,29,22,"Female",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",2
"125","high","ethical","ethical",30,26,27,"Male",11,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"126","low","ethical","unethical",29,30,32,"Female",12,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"127","low","ethical","ethical",31,40,22,"Female",4,"Poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",2
"128","low","unethical","ethical",24,30,28,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"129","high","unethical","ethical",25,29,31,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",2
"130","high","ethical","unethical",23,37,21,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"131","high","ethical","ethical",31,34,34,"Female",9,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",2
"132","high","unethical","ethical",32,24,27,"Male",13,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",2
"133","low","unethical","ethical",30,28,32,"Female",12,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",2
"134","low","unethical","unethical",30,33,23,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",2
"135","high","ethical","unethical",27,31,28,"Female",13,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",2
"136","low","ethical","ethical",29,27,32,"Male",16,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",3
"137","low","ethical","unethical",23,44,31,"Male",5,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"138","high","ethical","unethical",29,26,21,"Female",6,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"139","high","unethical","unethical",39,22,33,"Female",9,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"140","low","unethical","ethical",29,32,25,"Female",15,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"141","high","ethical","ethical",31,33,23,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"142","low","unethical","unethical",34,34,27,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"143","low","unethical","unethical",31,29,28,"Female",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"144","low","unethical","ethical",23,30,31,"Female",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",3
"145","high","ethical","unethical",32,33,24,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"146","high","ethical","ethical",24,29,32,"Female",13,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"147","high","unethical","unethical",25,24,27,"Female",19,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"148","low","ethical","ethical",31,37,25,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"149","low","unethical","ethical",18,27,30,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"150","low","unethical","unethical",30,34,26,"Female",19,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"151","low","ethical","unethical",36,28,29,"Male",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"152","high","ethical","ethical",27,34,24,"Male",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"153","high","ethical","unethical",25,41,19,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"154","high","ethical","unethical",29,31,26,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"155","high","unethical","unethical",26,30,29,"Male",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",3
"156","low","ethical","ethical",34,26,28,"Male",10,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"157","low","unethical","ethical",23,24,25,"Female",16,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",3
"158","high","unethical","ethical",40,38,14,"Female",4,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"159","low","unethical","unethical",30,34,26,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"160","high","ethical","ethical",22,31,28,"Male",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"161","low","ethical","unethical",26,39,15,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"162","high","unethical","ethical",26,39,23,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"163","low","unethical","ethical",28,31,23,"Female",4,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",3
"164","low","unethical","unethical",32,31,24,"Female",4,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",3
"165","low","ethical","ethical",30,30,30,"Female",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"166","low","ethical","unethical",26,28,26,"Female",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"167","high","unethical","ethical",34,30,25,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"168","high","ethical","unethical",26,29,20,"Female",15,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"169","high","ethical","ethical",30,31,29,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"170","high","ethical","ethical",34,32,11,"Female",12,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",3
"171","low","unethical","unethical",31,32,17,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"172","high","unethical","ethical",36,29,38,"Female",8,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",3
"173","low","unethical","ethical",27,31,22,"Male",11,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"174","high","unethical","unethical",32,29,29,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"175","high","ethical","unethical",35,30,30,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"176","low","ethical","unethical",30,31,27,"Male",17,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"177","high","unethical","unethical",31,32,23,"Female",6,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"178","low","unethical","ethical",22,21,15,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"179","high","unethical","unethical",23,27,24,"Male",20,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"180","low","ethical","unethical",30,27,31,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"181","low","unethical","unethical",32,29,30,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"182","low","ethical","ethical",29,32,21,"Female",5,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"183","high","ethical","unethical",26,29,28,"Male",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"184","low","unethical","ethical",23,32,27,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"185","low","ethical","ethical",23,30,24,"Female",4,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"186","high","unethical","unethical",30,33,17,"Female",18,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"187","low","ethical","unethical",28,35,23,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"188","high","ethical","unethical",15,34,14,"Female",13,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"189","high","ethical","ethical",28,34,21,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"190","high","unethical","ethical",35,30,30,"Female",5,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"191","low","ethical","ethical",27,33,20,"Male",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",3
"192","high","unethical","ethical",32,28,28,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"193","high","ethical","unethical",30,30,19,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",3
"194","high","unethical","unethical",25,27,28,"Male",10,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"195","high","ethical","ethical",31,30,26,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",3
"196","low","unethical","ethical",21,40,24,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"197","low","ethical","unethical",24,29,30,"Female",16,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"198","low","unethical","unethical",30,32,20,"Male",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"199","low","ethical","unethical",32,30,29,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",3
"200","low","unethical","ethical",29,27,30,"Female",16,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
"201","high","unethical","ethical",21,30,20,"Female",9,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",3
"202","high","ethical","unethical",28,29,24,"Male",10,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",3
"203","low","ethical","ethical",15,35,18,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",3
